"pwsid","monthAbb","date","demand_mgd","n_days","daily_demand","month","mean_demand","year"
"nc0326010","Jan",2009-01-01,23.13,31,0.75,1,24.704,2009
"nc0326010","Feb",2009-02-01,22.767,28,0.81,2,24.782,2009
"nc0326010","Mar",2009-03-01,23.598,31,0.76,3,25.74,2009
"nc0326010","Apr",2009-04-01,25.89,30,0.86,4,27.261,2009
"nc0326010","May",2009-05-01,26.457,31,0.85,5,29.318,2009
"nc0326010","Jun",2009-06-01,30.417,30,1.01,6,32.048,2009
"nc0326010","Jul",2009-07-01,30.68,31,0.99,7,32.153,2009
"nc0326010","Aug",2009-08-01,27.451,31,0.89,8,31.018,2009
"nc0326010","Sep",2009-09-01,25.663,30,0.86,9,29.819,2009
"nc0326010","Oct",2009-10-01,23.129,31,0.75,10,27.377,2009
"nc0326010","Nov",2009-11-01,22.538,30,0.75,11,25.58,2009
"nc0326010","Dec",2009-12-01,22.794,31,0.74,12,24.497,2009
"nc0326010","Jan",2010-01-01,21.782,31,0.7,1,24.704,2010
"nc0326010","Feb",2010-02-01,21.496,28,0.77,2,24.782,2010
"nc0326010","Mar",2010-03-01,24.586,31,0.79,3,25.74,2010
"nc0326010","Apr",2010-04-01,27.469,30,0.92,4,27.261,2010
"nc0326010","May",2010-05-01,31.678,31,1.02,5,29.318,2010
"nc0326010","Jun",2010-06-01,34.392,30,1.15,6,32.048,2010
"nc0326010","Jul",2010-07-01,34.366,31,1.11,7,32.153,2010
"nc0326010","Aug",2010-08-01,32.892,31,1.06,8,31.018,2010
"nc0326010","Sep",2010-09-01,33.693,30,1.12,9,29.819,2010
"nc0326010","Oct",2010-10-01,28.167,31,0.91,10,27.377,2010
"nc0326010","Nov",2010-11-01,26.034,30,0.87,11,25.58,2010
"nc0326010","Dec",2010-12-01,25.544,31,0.82,12,24.497,2010
"nc0326010","Jan",2011-01-01,23.744,31,0.77,1,24.704,2011
"nc0326010","Feb",2011-02-01,24.4,28,0.87,2,24.782,2011
"nc0326010","Mar",2011-03-01,25.574,31,0.82,3,25.74,2011
"nc0326010","Apr",2011-04-01,26.829,30,0.89,4,27.261,2011
"nc0326010","May",2011-05-01,29.495,31,0.95,5,29.318,2011
"nc0326010","Jun",2011-06-01,36.259,30,1.21,6,32.048,2011
"nc0326010","Jul",2011-07-01,36.235,31,1.17,7,32.153,2011
"nc0326010","Aug",2011-08-01,33.829,31,1.09,8,31.018,2011
"nc0326010","Sep",2011-09-01,30.703,30,1.02,9,29.819,2011
"nc0326010","Oct",2011-10-01,28.025,31,0.9,10,27.377,2011
"nc0326010","Nov",2011-11-01,25.954,30,0.87,11,25.58,2011
"nc0326010","Dec",2011-12-01,22.98,31,0.74,12,24.497,2011
"nc0326010","Jan",2012-01-01,24.588,31,0.79,1,24.704,2012
"nc0326010","Feb",2012-02-01,24.826,29,0.86,2,24.782,2012
"nc0326010","Mar",2012-03-01,26.656,31,0.86,3,25.74,2012
"nc0326010","Apr",2012-04-01,28.125,30,0.94,4,27.261,2012
"nc0326010","May",2012-05-01,29.81,31,0.96,5,29.318,2012
"nc0326010","Jun",2012-06-01,31.358,30,1.05,6,32.048,2012
"nc0326010","Jul",2012-07-01,32.306,31,1.04,7,32.153,2012
"nc0326010","Aug",2012-08-01,28.871,31,0.93,8,31.018,2012
"nc0326010","Sep",2012-09-01,29.17,30,0.97,9,29.819,2012
"nc0326010","Oct",2012-10-01,28.087,31,0.91,10,27.377,2012
"nc0326010","Nov",2012-11-01,27.259,30,0.91,11,25.58,2012
"nc0326010","Dec",2012-12-01,26.501,31,0.85,12,24.497,2012
"nc0326010","Jan",2013-01-01,26.007,31,0.84,1,24.704,2013
"nc0326010","Feb",2013-02-01,24.658,28,0.88,2,24.782,2013
"nc0326010","Mar",2013-03-01,26.207,31,0.85,3,25.74,2013
"nc0326010","Apr",2013-04-01,27.36,30,0.91,4,27.261,2013
"nc0326010","May",2013-05-01,28.257,31,0.91,5,29.318,2013
"nc0326010","Jun",2013-06-01,29.058,30,0.97,6,32.048,2013
"nc0326010","Jul",2013-07-01,28.119,31,0.91,7,32.153,2013
"nc0326010","Aug",2013-08-01,28.344,31,0.91,8,31.018,2013
"nc0326010","Sep",2013-09-01,27.788,30,0.93,9,29.819,2013
"nc0326010","Oct",2013-10-01,26.727,31,0.86,10,27.377,2013
"nc0326010","Nov",2013-11-01,23.732,30,0.79,11,25.58,2013
"nc0326010","Dec",2013-12-01,22.794,31,0.74,12,24.497,2013
"nc0326010","Jan",2014-01-01,25.495,31,0.82,1,24.704,2014
"nc0326010","Feb",2014-02-01,24.459,28,0.87,2,24.782,2014
"nc0326010","Mar",2014-03-01,25.113,31,0.81,3,25.74,2014
"nc0326010","Apr",2014-04-01,26.883,30,0.9,4,27.261,2014
"nc0326010","May",2014-05-01,30.345,31,0.98,5,29.318,2014
"nc0326010","Jun",2014-06-01,32.796,30,1.09,6,32.048,2014
"nc0326010","Jul",2014-07-01,32.534,31,1.05,7,32.153,2014
"nc0326010","Aug",2014-08-01,30.025,31,0.97,8,31.018,2014
"nc0326010","Sep",2014-09-01,27.901,30,0.93,9,29.819,2014
"nc0326010","Oct",2014-10-01,26.933,31,0.87,10,27.377,2014
"nc0326010","Nov",2014-11-01,27.284,30,0.91,11,25.58,2014
"nc0326010","Dec",2014-12-01,25.048,31,0.81,12,24.497,2014
"nc0326010","Jan",2015-01-01,26.945,31,0.87,1,24.704,2015
"nc0326010","Feb",2015-02-01,29.561,28,1.06,2,24.782,2015
"nc0326010","Mar",2015-03-01,28.748,31,0.93,3,25.74,2015
"nc0326010","Apr",2015-04-01,28.777,30,0.96,4,27.261,2015
"nc0326010","May",2015-05-01,31.415,31,1.01,5,29.318,2015
"nc0326010","Jun",2015-06-01,34.036,30,1.13,6,32.048,2015
"nc0326010","Jul",2015-07-01,33.407,31,1.08,7,32.153,2015
"nc0326010","Aug",2015-08-01,33.752,31,1.09,8,31.018,2015
"nc0326010","Sep",2015-09-01,30.787,30,1.03,9,29.819,2015
