"huc8","name","date","none","d0x","d1x","d2x","d3x","d4x"
"03010102","Middle Roanoke",2000-01-04,65.97,34.03,0,0,0,0
"03010102","Middle Roanoke",2000-01-11,100,0,0,0,0,0
"03010102","Middle Roanoke",2000-01-18,99.75,0.25,0,0,0,0
"03010102","Middle Roanoke",2000-01-25,100,0,0,0,0,0
"03010102","Middle Roanoke",2000-02-01,100,0,0,0,0,0
"03010102","Middle Roanoke",2000-02-08,100,0,0,0,0,0
"03010102","Middle Roanoke",2000-02-15,100,0,0,0,0,0
"03010102","Middle Roanoke",2000-02-22,100,0,0,0,0,0
"03010102","Middle Roanoke",2000-02-29,97.91,2.09,0,0,0,0
"03010102","Middle Roanoke",2000-03-07,82.21,17.79,0,0,0,0
"03010102","Middle Roanoke",2000-03-14,60.1,39.9,0,0,0,0
"03010102","Middle Roanoke",2000-03-21,67.17,32.83,0,0,0,0
"03010102","Middle Roanoke",2000-03-28,99.68,0.32,0,0,0,0
"03010102","Middle Roanoke",2000-04-04,52.7,47.3,0,0,0,0
"03010102","Middle Roanoke",2000-04-11,100,0,0,0,0,0
"03010102","Middle Roanoke",2000-04-18,100,0,0,0,0,0
"03010102","Middle Roanoke",2000-04-25,100,0,0,0,0,0
"03010102","Middle Roanoke",2000-05-02,100,0,0,0,0,0
"03010102","Middle Roanoke",2000-05-09,100,0,0,0,0,0
"03010102","Middle Roanoke",2000-05-16,100,0,0,0,0,0
"03010102","Middle Roanoke",2000-05-23,100,0,0,0,0,0
"03010102","Middle Roanoke",2000-05-30,100,0,0,0,0,0
"03010102","Middle Roanoke",2000-06-06,100,0,0,0,0,0
"03010102","Middle Roanoke",2000-06-13,100,0,0,0,0,0
"03010102","Middle Roanoke",2000-06-20,100,0,0,0,0,0
"03010102","Middle Roanoke",2000-06-27,85.25,14.75,0,0,0,0
"03010102","Middle Roanoke",2000-07-04,100,0,0,0,0,0
"03010102","Middle Roanoke",2000-07-11,100,0,0,0,0,0
"03010102","Middle Roanoke",2000-07-18,100,0,0,0,0,0
"03010102","Middle Roanoke",2000-07-25,100,0,0,0,0,0
"03010102","Middle Roanoke",2000-08-01,100,0,0,0,0,0
"03010102","Middle Roanoke",2000-08-08,100,0,0,0,0,0
"03010102","Middle Roanoke",2000-08-15,100,0,0,0,0,0
"03010102","Middle Roanoke",2000-08-22,100,0,0,0,0,0
"03010102","Middle Roanoke",2000-08-29,100,0,0,0,0,0
"03010102","Middle Roanoke",2000-09-05,100,0,0,0,0,0
"03010102","Middle Roanoke",2000-09-12,100,0,0,0,0,0
"03010102","Middle Roanoke",2000-09-19,100,0,0,0,0,0
"03010102","Middle Roanoke",2000-09-26,100,0,0,0,0,0
"03010102","Middle Roanoke",2000-10-03,100,0,0,0,0,0
"03010102","Middle Roanoke",2000-10-10,100,0,0,0,0,0
"03010102","Middle Roanoke",2000-10-17,100,0,0,0,0,0
"03010102","Middle Roanoke",2000-10-24,18.16,81.84,0,0,0,0
"03010102","Middle Roanoke",2000-10-31,0,100,0,0,0,0
"03010102","Middle Roanoke",2000-11-07,0,66.13,33.87,0,0,0
"03010102","Middle Roanoke",2000-11-14,0,67.08,32.92,0,0,0
"03010102","Middle Roanoke",2000-11-21,0,87.41,12.59,0,0,0
"03010102","Middle Roanoke",2000-11-28,0,97.66,2.34,0,0,0
"03010102","Middle Roanoke",2000-12-05,0,100,0,0,0,0
"03010102","Middle Roanoke",2000-12-12,0,100,0,0,0,0
"03010102","Middle Roanoke",2000-12-19,89.84,10.16,0,0,0,0
"03010102","Middle Roanoke",2000-12-26,100,0,0,0,0,0
"03010102","Middle Roanoke",2001-01-02,100,0,0,0,0,0
"03010102","Middle Roanoke",2001-01-09,100,0,0,0,0,0
"03010102","Middle Roanoke",2001-01-16,84.82,15.18,0,0,0,0
"03010102","Middle Roanoke",2001-01-23,85.74,14.26,0,0,0,0
"03010102","Middle Roanoke",2001-01-30,61.47,38.53,0,0,0,0
"03010102","Middle Roanoke",2001-02-06,43.7,56.3,0,0,0,0
"03010102","Middle Roanoke",2001-02-13,29.77,57.01,13.22,0,0,0
"03010102","Middle Roanoke",2001-02-20,29.77,57,13.23,0,0,0
"03010102","Middle Roanoke",2001-02-27,44.48,42.29,13.23,0,0,0
"03010102","Middle Roanoke",2001-03-06,69.38,17.39,13.23,0,0,0
"03010102","Middle Roanoke",2001-03-13,34.11,52.66,13.23,0,0,0
"03010102","Middle Roanoke",2001-03-20,0,73.14,26.86,0,0,0
"03010102","Middle Roanoke",2001-03-27,0,84.49,15.51,0,0,0
"03010102","Middle Roanoke",2001-04-03,0,100,0,0,0,0
"03010102","Middle Roanoke",2001-04-10,0,100,0,0,0,0
"03010102","Middle Roanoke",2001-04-17,0,100,0,0,0,0
"03010102","Middle Roanoke",2001-04-24,0,100,0,0,0,0
"03010102","Middle Roanoke",2001-05-01,0,100,0,0,0,0
"03010102","Middle Roanoke",2001-05-08,0,0,100,0,0,0
"03010102","Middle Roanoke",2001-05-15,0,0,98.39,1.61,0,0
"03010102","Middle Roanoke",2001-05-22,0,94.21,5.79,0,0,0
"03010102","Middle Roanoke",2001-05-29,3.78,96.22,0,0,0,0
"03010102","Middle Roanoke",2001-06-05,100,0,0,0,0,0
"03010102","Middle Roanoke",2001-06-12,100,0,0,0,0,0
"03010102","Middle Roanoke",2001-06-19,100,0,0,0,0,0
"03010102","Middle Roanoke",2001-06-26,100,0,0,0,0,0
"03010102","Middle Roanoke",2001-07-03,100,0,0,0,0,0
"03010102","Middle Roanoke",2001-07-10,100,0,0,0,0,0
"03010102","Middle Roanoke",2001-07-17,89.61,10.39,0,0,0,0
"03010102","Middle Roanoke",2001-07-24,3.23,96.77,0,0,0,0
"03010102","Middle Roanoke",2001-07-31,100,0,0,0,0,0
"03010102","Middle Roanoke",2001-08-07,100,0,0,0,0,0
"03010102","Middle Roanoke",2001-08-14,100,0,0,0,0,0
"03010102","Middle Roanoke",2001-08-21,100,0,0,0,0,0
"03010102","Middle Roanoke",2001-08-28,100,0,0,0,0,0
"03010102","Middle Roanoke",2001-09-04,100,0,0,0,0,0
"03010102","Middle Roanoke",2001-09-11,59.57,40.43,0,0,0,0
"03010102","Middle Roanoke",2001-09-18,59.57,40.43,0,0,0,0
"03010102","Middle Roanoke",2001-09-25,100,0,0,0,0,0
"03010102","Middle Roanoke",2001-10-02,35.53,64.47,0,0,0,0
"03010102","Middle Roanoke",2001-10-09,26.12,73.88,0,0,0,0
"03010102","Middle Roanoke",2001-10-16,22.07,77.93,0,0,0,0
"03010102","Middle Roanoke",2001-10-23,0,100,0,0,0,0
"03010102","Middle Roanoke",2001-10-30,0,0,100,0,0,0
"03010102","Middle Roanoke",2001-11-06,0,0,100,0,0,0
"03010102","Middle Roanoke",2001-11-13,0,0,100,0,0,0
"03010102","Middle Roanoke",2001-11-20,0,0,64.9,35.1,0,0
"03010102","Middle Roanoke",2001-11-27,0,0,64.9,35.1,0,0
"03010102","Middle Roanoke",2001-12-04,0,0,0,97.2,2.8,0
"03010102","Middle Roanoke",2001-12-11,0,0,36.87,63.13,0,0
"03010102","Middle Roanoke",2001-12-18,0,0,19.39,80.61,0,0
"03010102","Middle Roanoke",2001-12-25,0,0,19.1,80.9,0,0
"03010102","Middle Roanoke",2002-01-01,0,0,19.4,80.6,0,0
"03010102","Middle Roanoke",2002-01-08,0,0,19.78,80.22,0,0
"03010102","Middle Roanoke",2002-01-15,0,0,23.75,76.25,0,0
"03010102","Middle Roanoke",2002-01-22,0,0,37.93,62.07,0,0
"03010102","Middle Roanoke",2002-01-29,0,0,48.45,51.55,0,0
"03010102","Middle Roanoke",2002-02-05,0,0,0,100,0,0
"03010102","Middle Roanoke",2002-02-12,0,0,0,100,0,0
"03010102","Middle Roanoke",2002-02-19,0,0,0,100,0,0
"03010102","Middle Roanoke",2002-02-26,0,0,0,100,0,0
"03010102","Middle Roanoke",2002-03-05,0,0,0,100,0,0
"03010102","Middle Roanoke",2002-03-12,0,0,0,100,0,0
"03010102","Middle Roanoke",2002-03-19,0,0,0,100,0,0
"03010102","Middle Roanoke",2002-03-26,0,0,0,100,0,0
"03010102","Middle Roanoke",2002-04-02,0,0,0,100,0,0
"03010102","Middle Roanoke",2002-04-09,0,0,0,94.32,5.68,0
"03010102","Middle Roanoke",2002-04-16,0,0,0,0,100,0
"03010102","Middle Roanoke",2002-04-23,0,0,0,1.56999999999999,98.43,0
"03010102","Middle Roanoke",2002-04-30,0,0,0,0,100,0
"03010102","Middle Roanoke",2002-05-07,0,0,0,27.65,72.35,0
"03010102","Middle Roanoke",2002-05-14,0,0,0,20.28,79.72,0
"03010102","Middle Roanoke",2002-05-21,0,0,0,19.54,80.46,0
"03010102","Middle Roanoke",2002-05-28,0,0,0,32.04,67.96,0
"03010102","Middle Roanoke",2002-06-04,0,0,0,26.8,73.2,0
"03010102","Middle Roanoke",2002-06-11,0,0,0,0,100,0
"03010102","Middle Roanoke",2002-06-18,0,0,0,0,100,0
"03010102","Middle Roanoke",2002-06-25,0,0,0,0,93.9,6.1
"03010102","Middle Roanoke",2002-07-02,0,0,0,0,87.82,12.18
"03010102","Middle Roanoke",2002-07-09,0,0,0,0,98.51,1.49
"03010102","Middle Roanoke",2002-07-16,0,0,0,0,98.73,1.27
"03010102","Middle Roanoke",2002-07-23,0,0,0,0,99.64,0.36
"03010102","Middle Roanoke",2002-07-30,0,0,0,11.32,34.06,54.62
"03010102","Middle Roanoke",2002-08-06,0,0,0,0,12.87,87.13
"03010102","Middle Roanoke",2002-08-13,0,0,0,0,16.42,83.58
"03010102","Middle Roanoke",2002-08-20,0,0,0,0,16.86,83.14
"03010102","Middle Roanoke",2002-08-27,0,0,0,0,19.39,80.61
"03010102","Middle Roanoke",2002-09-03,0,0,0,0.310000000000002,92.14,7.55
"03010102","Middle Roanoke",2002-09-10,0,0,0,0,100,0
"03010102","Middle Roanoke",2002-09-17,0,0,0,0.269999999999996,99.73,0
"03010102","Middle Roanoke",2002-09-24,0,0,0,0.879999999999995,99.12,0
"03010102","Middle Roanoke",2002-10-01,0,0,0,0,100,0
"03010102","Middle Roanoke",2002-10-08,0,0,0,0,0,100
"03010102","Middle Roanoke",2002-10-15,0,0,10.01,63.61,26.38,0
"03010102","Middle Roanoke",2002-10-22,0,0,2.79000000000001,94.75,2.46,0
"03010102","Middle Roanoke",2002-10-29,0,0,20.73,79.27,0,0
"03010102","Middle Roanoke",2002-11-05,0,7,73.49,19.51,0,0
"03010102","Middle Roanoke",2002-11-12,0,30.59,69.41,0,0,0
"03010102","Middle Roanoke",2002-11-19,10.85,89.15,0,0,0,0
"03010102","Middle Roanoke",2002-11-26,2.37,97.63,0,0,0,0
"03010102","Middle Roanoke",2002-12-03,5.62,94.38,0,0,0,0
"03010102","Middle Roanoke",2002-12-10,3.19,96.81,0,0,0,0
"03010102","Middle Roanoke",2002-12-17,1.7,98.3,0,0,0,0
"03010102","Middle Roanoke",2002-12-24,4.14,95.86,0,0,0,0
"03010102","Middle Roanoke",2002-12-31,12.81,87.19,0,0,0,0
"03010102","Middle Roanoke",2003-01-07,95.82,4.18,0,0,0,0
"03010102","Middle Roanoke",2003-01-14,96.19,3.81,0,0,0,0
"03010102","Middle Roanoke",2003-01-21,98.9,1.1,0,0,0,0
"03010102","Middle Roanoke",2003-01-28,95.7,4.3,0,0,0,0
"03010102","Middle Roanoke",2003-02-04,94.13,5.87,0,0,0,0
"03010102","Middle Roanoke",2003-02-11,100,0,0,0,0,0
"03010102","Middle Roanoke",2003-02-18,100,0,0,0,0,0
"03010102","Middle Roanoke",2003-02-25,100,0,0,0,0,0
"03010102","Middle Roanoke",2003-03-04,100,0,0,0,0,0
"03010102","Middle Roanoke",2003-03-11,100,0,0,0,0,0
"03010102","Middle Roanoke",2003-03-18,100,0,0,0,0,0
"03010102","Middle Roanoke",2003-03-25,100,0,0,0,0,0
"03010102","Middle Roanoke",2003-04-01,100,0,0,0,0,0
"03010102","Middle Roanoke",2003-04-08,100,0,0,0,0,0
"03010102","Middle Roanoke",2003-04-15,100,0,0,0,0,0
"03010102","Middle Roanoke",2003-04-22,100,0,0,0,0,0
"03010102","Middle Roanoke",2003-04-29,100,0,0,0,0,0
"03010102","Middle Roanoke",2003-05-06,100,0,0,0,0,0
"03010102","Middle Roanoke",2003-05-13,100,0,0,0,0,0
"03010102","Middle Roanoke",2003-05-20,100,0,0,0,0,0
"03010102","Middle Roanoke",2003-05-27,100,0,0,0,0,0
"03010102","Middle Roanoke",2003-06-03,100,0,0,0,0,0
"03010102","Middle Roanoke",2003-06-10,100,0,0,0,0,0
"03010102","Middle Roanoke",2003-06-17,100,0,0,0,0,0
"03010102","Middle Roanoke",2003-06-24,100,0,0,0,0,0
"03010102","Middle Roanoke",2003-07-01,100,0,0,0,0,0
"03010102","Middle Roanoke",2003-07-08,100,0,0,0,0,0
"03010102","Middle Roanoke",2003-07-15,100,0,0,0,0,0
"03010102","Middle Roanoke",2003-07-22,100,0,0,0,0,0
"03010102","Middle Roanoke",2003-07-29,100,0,0,0,0,0
"03010102","Middle Roanoke",2003-08-05,100,0,0,0,0,0
"03010102","Middle Roanoke",2003-08-12,100,0,0,0,0,0
"03010102","Middle Roanoke",2003-08-19,100,0,0,0,0,0
"03010102","Middle Roanoke",2003-08-26,100,0,0,0,0,0
"03010102","Middle Roanoke",2003-09-02,100,0,0,0,0,0
"03010102","Middle Roanoke",2003-09-09,100,0,0,0,0,0
"03010102","Middle Roanoke",2003-09-16,100,0,0,0,0,0
"03010102","Middle Roanoke",2003-09-23,100,0,0,0,0,0
"03010102","Middle Roanoke",2003-09-30,100,0,0,0,0,0
"03010102","Middle Roanoke",2003-10-07,100,0,0,0,0,0
"03010102","Middle Roanoke",2003-10-14,100,0,0,0,0,0
"03010102","Middle Roanoke",2003-10-21,100,0,0,0,0,0
"03010102","Middle Roanoke",2003-10-28,100,0,0,0,0,0
"03010102","Middle Roanoke",2003-11-04,100,0,0,0,0,0
"03010102","Middle Roanoke",2003-11-11,100,0,0,0,0,0
"03010102","Middle Roanoke",2003-11-18,100,0,0,0,0,0
"03010102","Middle Roanoke",2003-11-25,100,0,0,0,0,0
"03010102","Middle Roanoke",2003-12-02,100,0,0,0,0,0
