"AgencyCd","SiteNo","AgencyNm","SiteName","DecLatVa","DecLongVa","HorzDatum","HorzMethod","HorzAcy","AltVa","AltUnits","AltUnitsNm","AltDatumCd","AltMethod","AltAcy","WellDepth","WellDepthUnits","WellDepthUnitsNm","NatAquiferCd","NatAqfrDesc","CountryCd","CountryNm","StateCd","StateNm","CountyCd","CountyNm","LocalAquiferCd","LocalAquiferName","SiteType","AquiferType","QwSysName","QwSnFlag","QwSnDesc","QwBaselineFlag","QwBaselineDesc","QwWellChars","QwWellCharsDesc","QwWellType","QwWellTypeDesc","QwWellPurpose","QwWellPurposeDesc","WlSysName","WlSnFlag","WlSnDesc","WlBaselineFlag","WlBaselineDesc","WlWellChars","WlWellCharsDesc","WlWellType","WlWellTypeDesc","WlWellPurpose","WlWellPurposeDesc","LithDataProvider","ConstDataProvider","Link"
"NCDWR","G4X1","North Carolina Department of Environmental Quality Division of Water Resources","Kitty Hawk North","36.099542","-75.725501","NAD83","GPS","<.05","5.74","1","Feet","NAVD88","Trimble R10","<.1 ft","238","1","Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system","US","United States of America","37","North Carolina","055","Dare County","Ty","Yorktown","WELL","CONFINED","water_quality_network","1","Yes","1","Yes","1","Background","2","Trend","1","Dedicated Monitoring/Observation","water_level_network","1","Yes","1","Yes","1","Background","2","Trend","1","Dedicated Monitoring/Observation","NCDWR","NCDWR","http://www.ncwater.org/?page=536&id=G***4X1&tl=1"
"NCDWR","G9C3","North Carolina Department of Environmental Quality Division of Water Resources","Big Flatty Creek","36.150033","-76.132485","NAD83","GPS","<.05","2.364","1","Feet","NAVD88","Trimble R10","<.1 ft","70","1","Feet","S100SURFCL","Surficial aquifer system","US","United States of America","37","North Carolina","139","Pasquotank County","S","Surficial","WELL","UNCONFINED","water_quality_network","1","Yes","1","Yes","1","Background","2","Trend","1","Dedicated Monitoring/Observation","water_level_network","1","Yes","1","Yes","1","Background","2","Trend","1","Dedicated Monitoring/Observation","NCDWR","NCDWR","http://www.ncwater.org/?page=536&id=G***9C3&tl=1"
"NCDWR","G9C4","North Carolina Department of Environmental Quality Division of Water Resources","Big Flatty Creek","36.150033","-76.132485","NAD83","GPS","<.05","2.444","1","Feet","NAVD88","Trimble R10","<.1 ft","622","1","Feet","N400CSLHYN","Castle Hayne aquifer","US","United States of America","37","North Carolina","139","Pasquotank County","Tch","Castle Hayne","WELL","CONFINED","water_quality_network","1","Yes","1","Yes","1","Background","2","Trend","1","Dedicated Monitoring/Observation","water_level_network","1","Yes","1","Yes","3","Known Changes","2","Trend","1","Dedicated Monitoring/Observation","NCDWR","NCDWR","http://www.ncwater.org/?page=536&id=G***9C4&tl=1"
"NCDWR","G9C6","North Carolina Department of Environmental Quality Division of Water Resources","Big Flatty Creek","36.150033","-76.132485","NAD83","GPS","<.05","2.274","1","Feet","NAVD88","Trimble R10","<.1 ft","105","1","Feet","S100SURFCL","Surficial aquifer system","US","United States of America","37","North Carolina","139","Pasquotank County","S","Surficial","WELL","UNCONFINED","water_quality_network","1","Yes","1","Yes","1","Background","2","Trend","1","Dedicated Monitoring/Observation","water_level_network","1","Yes","1","Yes","1","Background","2","Trend","1","Dedicated Monitoring/Observation","NCDWR","NCDWR","http://www.ncwater.org/?page=536&id=G***9C6&tl=1"
"NCDWR","F10K3","North Carolina Department of Environmental Quality Division of Water Resources","Weeksville Elementary","36.205757","-76.166895","NAD83","GPS","<.05","3.259","1","Feet","NAVD88","Trimble R10","<.1 ft","60","1","Feet","S100SURFCL","Surficial aquifer system","US","United States of America","37","North Carolina","139","Pasquotank County","S","Surficial","WELL","UNCONFINED","water_quality_network","1","Yes","1","Yes","1","Background","2","Trend","1","Dedicated Monitoring/Observation","water_level_network","1","Yes","1","Yes","1","Background","2","Trend","1","Dedicated Monitoring/Observation","NCDWR","NCDWR","http://www.ncwater.org/?page=536&id=F**10K3&tl=1"
"NCDWR","F10K4","North Carolina Department of Environmental Quality Division of Water Resources","Weeksville Elementary","36.205757","-76.166895","NAD83","GPS","<.05","3.539","1","Feet","NAVD88","Trimble R10","<.1 ft","75","1","Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system","US","United States of America","37","North Carolina","139","Pasquotank County","Ty","Yorktown","WELL","CONFINED","water_quality_network","1","Yes","1","Yes","1","Background","2","Trend","1","Dedicated Monitoring/Observation","water_level_network","1","Yes","1","Yes","1","Background","2","Trend","1","Dedicated Monitoring/Observation","NCDWR","NCDWR","http://www.ncwater.org/?page=536&id=F**10K4&tl=1"
"NCDWR","F11I4","North Carolina Department of Environmental Quality Division of Water Resources","Halls Creek","36.219541","-76.276379","NAD83","GPS","<.05","0.436","1","Feet","NAVD88","Trimble R10","<.1 ft","70","1","Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system","US","United States of America","37","North Carolina","139","Pasquotank County","Ty","Yorktown","WELL","CONFINED","water_quality_network","1","Yes","1","Yes","1","Background","2","Trend","1","Dedicated Monitoring/Observation","water_level_network","1","Yes","1","Yes","1","Background","2","Trend","1","Dedicated Monitoring/Observation","NCDWR","NCDWR","http://www.ncwater.org/?page=536&id=F**11I4&tl=1"
"NCDWR","E10U4","North Carolina Department of Environmental Quality Division of Water Resources","Elizabeth City (USCGS)","36.250825","-76.177299","NAD83","GPS","<.05","7.249","1","Feet","NAVD88","Trimble R10","<.1 ft","145","1","Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system","US","United States of America","37","North Carolina","139","Pasquotank County","Ty","Yorktown","WELL","CONFINED","water_quality_network","1","Yes","1","Yes","1","Background","2","Trend","1","Dedicated Monitoring/Observation","water_level_network","1","Yes","1","Yes","1","Background","2","Trend","1","Dedicated Monitoring/Observation","NCDWR","NCDWR","http://www.ncwater.org/?page=536&id=E**10U4&tl=1"
"NCDWR","E10U5","North Carolina Department of Environmental Quality Division of Water Resources","Elizabeth City (USCGS)","36.250825","-76.177299","NAD83","GPS","<.05","7.479","1","Feet","NAVD88","Trimble R10","<.1 ft","55","1","Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system","US","United States of America","37","North Carolina","139","Pasquotank County","Ty","Yorktown","WELL","CONFINED","water_quality_network","1","Yes","1","Yes","1","Background","2","Trend","1","Dedicated Monitoring/Observation","water_level_network","1","Yes","1","Yes","1","Background","2","Trend","1","Dedicated Monitoring/Observation","NCDWR","NCDWR","http://www.ncwater.org/?page=536&id=E**10U5&tl=1"
"NCDWR","E10U7","North Carolina Department of Environmental Quality Division of Water Resources","Elizabeth City (USCGS)","36.250825","-76.177299","NAD83","GPS","<.05","7.269","1","Feet","NAVD88","Trimble R10","<.1 ft","17","1","Feet","S100SURFCL","Surficial aquifer system","US","United States of America","37","North Carolina","139","Pasquotank County","S","Surficial","WELL","UNCONFINED","water_quality_network","1","Yes","1","Yes","1","Background","2","Trend","1","Dedicated Monitoring/Observation","water_level_network","1","Yes","1","Yes","1","Background","2","Trend","1","Dedicated Monitoring/Observation","NCDWR","NCDWR","http://www.ncwater.org/?page=536&id=E**10U7&tl=1"
