"site","start_yr","end_yr","n_obsv","AgencyCd","SiteName","DecLatVa","DecLongVa","AltVa","AltUnitsNm","WellDepth","WellDepthUnitsNm","NatAquiferCd","NatAqfrDesc","StateCd","StateNm","CountyCd","CountyNm","LocalAquiferCd","LocalAquiferName","SiteType","AquiferType","link"
"344520079281001",1993,2020,7048,"USGS","SC-040 AT LAURINBURG, NC (BLACK CREEK)",34.755,-79.4672222222222,211,"Feet",240,"Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system",37,"North Carolina",165,"Scotland County","211BAKC","Black Creek Aquifer","WELL","CONFINED",NA
"344544079263701",2007,2020,5129,"USGS","SC-142 AT LAURINBURG, NC (BLACK CREEK)",34.7622222222222,-79.4436111111111,211,"Feet",161,"Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system",37,"North Carolina",165,"Scotland County","211BAKC","Black Creek Aquifer","WELL","CONFINED",NA
"345051078012109",2003,2020,5149,"USGS","DU-157 ROSE HILL RS V32v9 (NC-222R) (SURFICIAL)",34.8477777777778,-78.0209722222222,85,"Feet",15.4,"Feet","S100SURFCL","Surficial aquifer system",37,"North Carolina",61,"Duplin County","110QPLC","Post Miocene (Quaternary + Pliocene) Rocks","WELL","UNCONFINED",NA
"345812079313401",1990,2020,11136,"USGS","SC-080 (NC-194) NR MARSTON, NC (BLACK CREEK)",34.9705555555556,-79.5283333333333,430.3,"Feet",39,"Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system",37,"North Carolina",165,"Scotland County","211BAKCU","Black Creek Aquifer, Upper","WELL","UNCONFINED",NA
"351849078163901",1990,2020,10804,"USGS","WA-154 (NC-148) NR GRANTHAM, NC (SURFICIAL)",35.3097222222222,-78.2727777777778,185.7,"Feet",10.4,"Feet","S100SURFCL","Surficial aquifer system",37,"North Carolina",191,"Wayne County","110QPLC","Post Miocene (Quaternary + Pliocene) Rocks","WELL","UNCONFINED",NA
"355944079013401",2008,2020,2745,"USGS","OR-691 DUKE FOREST RS DF-1I NR EUBANKS, NC (TR ZN)",35.9956916666667,-79.0260472222222,486.1,"Feet",52,"Feet","N400PDMBRX","Piedmont and Blue Ridge crystalline-rock aquifers",37,"North Carolina",135,"Orange County","100TRNS","Transition Zone","WELL","UNCONFINED",NA
"361011079595401",2008,2020,4363,"USGS","GU-659 AT OAK RIDGE (REGOLITH)",36.1697777777778,-79.9982777777778,970.1,"Feet",43,"Feet","N400PDMBRX","Piedmont and Blue Ridge crystalline-rock aquifers",37,"North Carolina",81,"Guilford County","100RGLT","Regolith","WELL","UNCONFINED",NA
"B39X1",2010,2020,3481,"NCDWR","Wallace Vaughan",36.50738,-78.64017,383.558,"Feet",146,"Feet","N400PDMBRX","Piedmont and Blue Ridge crystalline-rock aquifers",37,"North Carolina",77,"Granville County","","Bedrock","WELL","UNCONFINED","https://www.ncwater.org/Data_and_Modeling/Ground_Water_Databases/potmaps/gwbdatafiles/b39x1151240lev.txt"
"C30P1",1990,2020,5741,"NCDWR","Littleton",36.433399,-77.91389,390.638,"Feet",500,"Feet","N400PDMBRX","Piedmont and Blue Ridge crystalline-rock aquifers",37,"North Carolina",83,"Halifax County","","Bedrock","WELL","UNCONFINED","https://www.ncwater.org/Data_and_Modeling/Ground_Water_Databases/potmaps/gwbdatafiles/c30p1151242lev.txt"
"C31Y1",2011,2020,3089,"NCDWR","Vaughan Elementary School",36.42048,-77.9992,352.338,"Feet",276,"Feet","N400PDMBRX","Piedmont and Blue Ridge crystalline-rock aquifers",37,"North Carolina",185,"Warren County","","Bedrock","WELL","UNCONFINED","https://www.ncwater.org/Data_and_Modeling/Ground_Water_Databases/potmaps/gwbdatafiles/c31y1151244lev.txt"
