Station,Type,Name,County,State,Latitude,Longitude,Elevation,Supported By,First Ob,Most Recent Ob,Temp,Dew Point,Wet Bulb,SLP,Stn. Pres.,Vis,Wx Type,Obscur,Wind Spd,Wind Dir,Wind Gusts,RH,Precip,Snow,ET,Altimeter,Soil Temp,Soil Moist.,Soil Salinity,Solar Rad.,PAR,Cloud Cover,Fuel Temp,Fuel Moist.
GREE,OSM,Green Swamp Preserve,Brunswick County,NC,34.12386231,-78.28178644,66,Carolinas Integrated Sciences & Assessments,7/30/2019,11/4/2020,no,no,no,no,no,no,no,no,no,no,no,no,YES,YES,no,no,no,no,no,no,no,no,no,no
41119,IOOS,"Sunset Beach, NC - (245)",Brunswick County,NC,33.842,-78.483,0,IOOS Partners,,,no,no,no,no,no,no,no,no,no,no,no,no,YES,YES,no,no,no,no,no,no,no,no,no,no
SMPN7,RAWS-MW,Nc Fire Raws #2,Transylvania County,NC,35.305133,-82.712217,2670.6,MesoWest,12/29/2004,4/9/2015,no,no,no,no,no,no,no,no,no,no,no,no,YES,YES,no,no,no,no,no,no,no,no,no,no
TS792,RAWS-MW,Fire Research #3,Richmond County,NC,34.959722,-79.69,380.6,MesoWest,8/29/2002,8/29/2011,no,no,no,no,no,no,no,no,no,no,no,no,YES,YES,no,no,no,no,no,no,no,no,no,no
TS891,RAWS-MW,Nc Fire Raws #5,Gates County,NC,36.573939,-81.65365,4927.8,MesoWest,5/2/2016,9/24/2020,no,no,no,no,no,no,no,no,no,no,no,no,YES,YES,no,no,no,no,no,no,no,no,no,no
310626,COOP,Beaufort,Carteret County,NC,34.7,-76.63333,10,,8/1/1905,4/30/1948,YES,no,no,no,no,no,no,no,no,no,no,no,YES,YES,no,no,no,no,no,no,no,no,no,no
311423,COOP,Candor,Montgomery County,NC,35.26667,-79.68333,700,,9/1/1936,6/30/1947,YES,no,no,no,no,no,no,no,no,no,no,no,YES,YES,no,no,no,no,no,no,no,no,no,no
311578,COOP,CATAWBA 5 SW,Catawba County,NC,35.6487,-81.1342,1015,,11/21/2012,10/6/2020,YES,no,no,no,no,no,no,no,no,no,no,no,YES,YES,no,no,no,no,no,no,no,no,no,no
311647,COOP,Chadbourn,Columbus County,NC,34.33333,-78.83333,106,,3/1/1923,2/28/1931,YES,no,no,no,no,no,no,no,no,no,no,no,YES,YES,no,no,no,no,no,no,no,no,no,no
311655,COOP,Chalybeate Springs,Harnett County,NC,36,-79,500,,3/1/1905,7/31/1914,YES,no,no,no,no,no,no,no,no,no,no,no,YES,YES,no,no,no,no,no,no,no,no,no,no
311700,COOP,Chatham Wtp,Chatham County,NC,35.73667,-79.00444,308,,7/1/2007,9/30/2020,YES,no,no,no,no,no,no,no,no,no,no,no,YES,YES,no,no,no,no,no,no,no,no,no,no
312533,COOP,Eagle Nest,Haywood County,NC,35.5,-82.08333,5050,,7/1/1911,8/31/1917,YES,no,no,no,no,no,no,no,no,no,no,no,YES,YES,no,no,no,no,no,no,no,no,no,no
312550,COOP,Eagletown,Northampton County,NC,36.26667,-77.2,66,,3/1/1904,8/31/1922,YES,no,no,no,no,no,no,no,no,no,no,no,YES,YES,no,no,no,no,no,no,no,no,no,no
312645,COOP,Edgemont,Caldwell County,NC,36,-81.75,2200,,12/1/1926,8/31/1931,YES,no,no,no,no,no,no,no,no,no,no,no,YES,YES,no,no,no,no,no,no,no,no,no,no
313072,COOP,Flat Springs 1e,Avery County,NC,36.25278,-81.91361,3355,,4/1/2008,11/3/2020,YES,no,no,no,no,no,no,no,no,no,no,no,YES,YES,no,no,no,no,no,no,no,no,no,no
313333,COOP,Frisco,Dare County,NC,35.26028,-75.5825,5,,11/1/2005,3/31/2009,YES,no,no,no,no,no,no,no,no,no,no,no,YES,YES,no,no,no,no,no,no,no,no,no,no
314040,COOP,High Hampton,Jackson County,NC,35.1,-83.08333,3500,,1/1/1932,1/31/1935,YES,no,no,no,no,no,no,no,no,no,no,no,YES,YES,no,no,no,no,no,no,no,no,no,no
314643,COOP,Kilby's Gap (1),Wilkes County,NC,36.35,-81.18333,2640,,3/1/1938,7/26/1947,YES,no,no,no,no,no,no,no,no,no,no,no,YES,YES,no,no,no,no,no,no,no,no,no,no
315175,COOP,Lumber Rvr Sp,Robeson County,NC,34.39028,-79.00222,96,,3/1/2007,10/27/2020,YES,no,no,no,no,no,no,no,no,no,no,no,YES,YES,no,no,no,no,no,no,no,no,no,no
