"id","month","year","pcp_in"
"USC00310212",1,"1990",NA
"USC00310212",2,"1990",NA
"USC00310212",3,"1990",NA
"USC00310212",4,"1990",NA
"USC00310212",5,"1990",NA
"USC00310212",6,"1990",NA
"USC00310212",7,"1990",NA
"USC00310212",8,"1990",NA
"USC00310212",9,"1990",NA
"USC00310212",10,"1990",NA
"USC00310212",11,"1990",NA
"USC00310212",12,"1990",NA
"USC00310212",1,"1991",NA
"USC00310212",2,"1991",NA
"USC00310212",3,"1991",NA
"USC00310212",4,"1991",NA
"USC00310212",5,"1991",NA
"USC00310212",6,"1991",NA
"USC00310212",7,"1991",NA
"USC00310212",8,"1991",NA
"USC00310212",9,"1991",NA
"USC00310212",10,"1991",NA
"USC00310212",11,"1991",NA
"USC00310212",12,"1991",NA
"USC00310212",1,"1992",NA
"USC00310212",2,"1992",NA
"USC00310212",3,"1992",NA
"USC00310212",4,"1992",NA
"USC00310212",5,"1992",NA
"USC00310212",6,"1992",NA
"USC00310212",7,"1992",NA
"USC00310212",8,"1992",NA
"USC00310212",9,"1992",NA
"USC00310212",10,"1992",NA
"USC00310212",11,"1992",NA
"USC00310212",12,"1992",NA
"USC00310212",1,"1993",NA
"USC00310212",2,"1993",NA
"USC00310212",3,"1993",NA
"USC00310212",4,"1993",NA
"USC00310212",5,"1993",NA
"USC00310212",6,"1993",NA
"USC00310212",7,"1993",3.57
"USC00310212",8,"1993",3.98
"USC00310212",9,"1993",1.11
"USC00310212",10,"1993",4
"USC00310212",11,"1993",2.06
"USC00310212",12,"1993",3.97
"USC00310212",1,"1994",3.52
"USC00310212",2,"1994",3.26
"USC00310212",3,"1994",6.09
"USC00310212",4,"1994",1.44
"USC00310212",5,"1994",3.74
"USC00310212",6,"1994",5.31
"USC00310212",7,"1994",5.12
"USC00310212",8,"1994",5.63
"USC00310212",9,"1994",3.4
"USC00310212",10,"1994",5.19
"USC00310212",11,"1994",1.76
"USC00310212",12,"1994",1.49
"USC00310212",1,"1995",4.78
"USC00310212",2,"1995",6.03
"USC00310212",3,"1995",3.69
"USC00310212",4,"1995",1.42
"USC00310212",5,"1995",4.43
"USC00310212",6,"1995",6.05
"USC00310212",7,"1995",1.98
"USC00310212",8,"1995",2.36
"USC00310212",9,"1995",2.81
"USC00310212",10,"1995",9.76
"USC00310212",11,"1995",4.37
"USC00310212",12,"1995",1.61
"USC00310212",1,"1996",4.72
"USC00310212",2,"1996",3.54
"USC00310212",3,"1996",3.62
"USC00310212",4,"1996",3.2
"USC00310212",5,"1996",4.74
"USC00310212",6,"1996",2.82
"USC00310212",7,"1996",5.47
"USC00310212",8,"1996",3.67
"USC00310212",9,"1996",11.69
"USC00310212",10,"1996",3.48
"USC00310212",11,"1996",3.39
"USC00310212",12,"1996",3.07
"USC00310212",1,"1997",2.41
"USC00310212",2,"1997",3.02
"USC00310212",3,"1997",3.59
"USC00310212",4,"1997",5.2
"USC00310212",5,"1997",3.22
"USC00310212",6,"1997",4.45
"USC00310212",7,"1997",6.28
"USC00310212",8,"1997",1.14
"USC00310212",9,"1997",2.48
"USC00310212",10,"1997",3.42
"USC00310212",11,"1997",2.08
"USC00310212",12,"1997",3.22
"USC00310212",1,"1998",8.04
"USC00310212",2,"1998",5.29
"USC00310212",3,"1998",7.34
"USC00310212",4,"1998",3.31
"USC00310212",5,"1998",4.7
"USC00310212",6,"1998",2.98
"USC00310212",7,"1998",4.89
"USC00310212",8,"1998",6.15
"USC00310212",9,"1998",3.03
"USC00310212",10,"1998",2.04
"USC00310212",11,"1998",2.09
"USC00310212",12,"1998",3.73
"USC00310212",1,"1999",5.82
"USC00310212",2,"1999",2.26
"USC00310212",3,"1999",4.32
"USC00310212",4,"1999",2.53
"USC00310212",5,"1999",0.87
"USC00310212",6,"1999",1.51
"USC00310212",7,"1999",3.65
"USC00310212",8,"1999",5.91
