id,month,year,pcp_in,ndays
310212,1,1990,NA,NA
310212,1,1991,NA,NA
310212,1,1992,NA,NA
310212,1,1993,NA,NA
310212,1,1994,3.52,31
310212,1,1995,4.78,31
310212,1,1996,4.72,31
310212,1,1997,2.41,31
310212,1,1998,8.04,31
310212,1,1999,5.82,31
310212,1,2000,NA,1
310212,1,2001,1.4,31
310212,1,2002,6.44,31
310212,1,2003,2.1,31
310212,1,2004,1.65,31
310212,1,2005,2.55,31
310212,1,2006,2.17,31
310212,1,2007,2.96,31
310212,1,2008,1.03,31
310212,1,2009,2.9,31
310212,1,2010,4.16,31
310212,1,2011,1.29,31
310212,1,2012,2.73,31
310212,1,2013,3.05,31
310212,1,2014,2.79,31
310212,1,2015,4.22,31
310212,1,2016,2.93,31
310212,1,2017,4.46,31
310212,1,2018,3.68,31
310212,1,2019,3.59,31
310212,1,2020,4.22,31
310212,1,2021,4.94,31
310212,2,1990,NA,NA
310212,2,1991,NA,NA
310212,2,1992,NA,NA
310212,2,1993,NA,NA
310212,2,1994,3.26,28
310212,2,1995,6.03,28
310212,2,1996,3.54,29
310212,2,1997,3.02,28
310212,2,1998,5.29,28
310212,2,1999,2.26,28
310212,2,2000,NA,NA
310212,2,2001,2.43,28
310212,2,2002,1.35,28
310212,2,2003,5.92,28
310212,2,2004,3.03,29
310212,2,2005,2.68,28
310212,2,2006,1.63,28
310212,2,2007,2.03,28
310212,2,2008,3.35,29
310212,2,2009,1.17,28
310212,2,2010,3.29,28
310212,2,2011,1.3,28
310212,2,2012,NA,23
310212,2,2013,4.48,28
310212,2,2014,3.5,28
310212,2,2015,2.97,28
310212,2,2016,4.18,29
310212,2,2017,1.27,28
310212,2,2018,1.84,28
310212,2,2019,4.44,28
310212,2,2020,6.64,29
310212,2,2021,4.94,16
310212,3,1990,NA,NA
310212,3,1991,NA,NA
310212,3,1992,NA,NA
310212,3,1993,NA,NA
310212,3,1994,6.09,31
310212,3,1995,3.69,31
310212,3,1996,3.62,31
310212,3,1997,3.59,31
310212,3,1998,7.34,31
310212,3,1999,4.32,31
310212,3,2000,NA,8
310212,3,2001,6.3,31
310212,3,2002,3.03,31
310212,3,2003,6.21,31
310212,3,2004,2.56,31
310212,3,2005,4.03,31
310212,3,2006,1.3,31
310212,3,2007,3.36,31
310212,3,2008,4.25,31
310212,3,2009,6.66,31
310212,3,2010,3.5,31
310212,3,2011,3.93,31
310212,3,2012,4.46,31
310212,3,2013,1.71,31
310212,3,2014,5.74,31
310212,3,2015,3.8,31
310212,3,2016,2,31
310212,3,2017,2.52,31
310212,3,2018,4.49,31
310212,3,2019,3.1,31
310212,3,2020,2.65,31
310212,3,2021,NA,NA
310212,4,1990,NA,NA
310212,4,1991,NA,NA
310212,4,1992,NA,NA
310212,4,1993,NA,NA
310212,4,1994,1.44,30
310212,4,1995,1.42,30
310212,4,1996,3.2,30
310212,4,1997,5.2,30
310212,4,1998,3.31,30
310212,4,1999,2.53,30
310212,4,2000,3.36,30
310212,4,2001,2.63,30
310212,4,2002,2.94,30
310212,4,2003,5.5,30
310212,4,2004,2.3,30
310212,4,2005,2.41,30
310212,4,2006,4.06,30
310212,4,2007,5.24,30
310212,4,2008,4.87,30
310212,4,2009,1.64,30
310212,4,2010,1.32,30
310212,4,2011,4.49,28
310212,4,2012,2.28,30
310212,4,2013,4.5,30
310212,4,2014,3.38,29
310212,4,2015,4.53,30
310212,4,2016,4.14,30
310212,4,2017,9.32,30
310212,4,2018,4.9,30
310212,4,2019,6.72,30
310212,4,2020,3.84,30
310212,4,2021,NA,NA
310212,5,1990,NA,NA
310212,5,1991,NA,NA
310212,5,1992,NA,NA
310212,5,1993,NA,NA
310212,5,1994,3.74,31
310212,5,1995,4.44,31
310212,5,1996,4.74,31
310212,5,1997,3.23,31
310212,5,1998,4.7,31
310212,5,1999,0.87,31
310212,5,2000,0.7,31
310212,5,2001,2.13,31
310212,5,2002,1.32,31
310212,5,2003,4.08,31
310212,5,2004,3.43,31
310212,5,2005,3.26,31
310212,5,2006,4.12,31
310212,5,2007,0.49,31
310212,5,2008,3.69,31
310212,5,2009,3.94,31
310212,5,2010,4.97,31
310212,5,2011,5.61,31
310212,5,2012,6.54,31
310212,5,2013,3.78,31
310212,5,2014,5.8,31
310212,5,2015,1.56,31
310212,5,2016,6.35,31
310212,5,2017,4.6,31
310212,5,2018,5.5,31
310212,5,2019,1.78,31
310212,5,2020,6.91,31
310212,5,2021,NA,NA
310212,6,1990,NA,NA
310212,6,1991,NA,NA
310212,6,1992,NA,NA
310212,6,1993,NA,NA
310212,6,1994,5.31,30
310212,6,1995,6.04,30
310212,6,1996,2.82,30
310212,6,1997,4.44,30
310212,6,1998,2.98,30
310212,6,1999,1.51,30
310212,6,2000,3.48,29
310212,6,2001,8.94,30
310212,6,2002,2.78,30
310212,6,2003,3.38,30
310212,6,2004,2.61,30
310212,6,2005,1.87,30
310212,6,2006,6.55,30
310212,6,2007,3.36,30
310212,6,2008,NA,22
310212,6,2009,4.54,30
310212,6,2010,2.82,30
310212,6,2011,2.66,30
310212,6,2012,3.4,28
310212,6,2013,9.11,30
310212,6,2014,3.08,30
310212,6,2015,6.24,30
310212,6,2016,4.57,30
310212,6,2017,6.31,30
310212,6,2018,NA,24
310212,6,2019,5.09,30
310212,6,2020,4.04,30
310212,6,2021,NA,NA
310212,7,1990,NA,NA
310212,7,1991,NA,NA
310212,7,1992,NA,NA
310212,7,1993,3.57,31
310212,7,1994,5.12,31
310212,7,1995,1.98,31
310212,7,1996,5.47,31
310212,7,1997,6.28,31
310212,7,1998,4.89,31
310212,7,1999,3.65,31
310212,7,2000,7.88,31
310212,7,2001,4.2,31
310212,7,2002,3.45,31
310212,7,2003,4.94,31
310212,7,2004,4.46,31
310212,7,2005,6.71,31
310212,7,2006,3.53,31
310212,7,2007,2.96,31
310212,7,2008,5.13,31
310212,7,2009,3.18,31
310212,7,2010,5.72,31
310212,7,2011,1.75,29
310212,7,2012,6.5,31
310212,7,2013,2.89,31
310212,7,2014,6.59,31
