pwsid,utility_name,activity,stage,stage_response
NC0332010,Durham City,Spray Irrigation,year round,Three days per week
NC0332010,Durham City,"Hand Watering, Drip Irrigation, Subsurface Irrigation",year round,Allowed
NC0332010,Durham City,"New Landscape, Exception License",year round,Allowed
NC0332010,Durham City,Vehicle Washing,year round,Allowed
NC0332010,Durham City,Surface Washing,year round,Allowed
NC0332010,Durham City,Spray Irrigation,stage 1,One day per week
NC0332010,Durham City,"Hand Watering, Drip Irrigation, Subsurface Irrigation",stage 1,Allowed
NC0332010,Durham City,"New Landscape, Exception License",stage 1,No new licenses
NC0332010,Durham City,Vehicle Washing,stage 1,Allowed
NC0332010,Durham City,Surface Washing,stage 1,Allowed
NC0332010,Durham City,Spray Irrigation,stage 2,Not Allowed
NC0332010,Durham City,"Hand Watering, Drip Irrigation, Subsurface Irrigation",stage 2,Allowed
NC0332010,Durham City,"New Landscape, Exception License",stage 2,Not Allowed
NC0332010,Durham City,Vehicle Washing,stage 2,Limited to efficient commercial facilities
NC0332010,Durham City,Surface Washing,stage 2,Allowed prior to painting only
NC0332010,Durham City,Spray Irrigation,stage 3,Not Allowed
NC0332010,Durham City,"Hand Watering, Drip Irrigation, Subsurface Irrigation",stage 3,Not Allowed
NC0332010,Durham City,"New Landscape, Exception License",stage 3,Not Allowed
NC0332010,Durham City,Vehicle Washing,stage 3,Limited to efficient commercial facilities
NC0332010,Durham City,Surface Washing,stage 3,Not Allowed
NC0332010,Durham City,Spray Irrigation,stage 4,Not Allowed
NC0332010,Durham City,"Hand Watering, Drip Irrigation, Subsurface Irrigation",stage 4,Not Allowed
NC0332010,Durham City,"New Landscape, Exception License",stage 4,Not Allowed
NC0332010,Durham City,Vehicle Washing,stage 4,Not Allowed
NC0332010,Durham City,Surface Washing,stage 4,Not Allowed
NC0392020,Cary,Outdoor Spray Irrigation,year round,Three days per week
NC0392020,Cary,"Hand Watering, Drip Irrigation, Subsurface Irrigation",year round,Allowed
NC0392020,Cary,"Outdoor Water Use: Pressure Washing, Car Washing, Swimming Pools, etc.",year round,Allowed
NC0392020,Cary,New Turf Watering Exception Permits,year round,Allowed
