"site","year","medianDepth","nobsv"
"335629078115406",1990,12.44,365
"335629078115406",1991,11.3,365
"335629078115406",1992,10.405,366
"335629078115406",1993,10.74,365
"335629078115406",1994,11.46,365
"335629078115406",1995,10.71,365
"335629078115406",1996,11.205,366
"335629078115406",1997,10.29,365
"335629078115406",1998,9.13,365
"335629078115406",1999,8.96,365
"335629078115406",2000,8.03,366
"335629078115406",2001,10.07,365
"335629078115406",2002,12.68,365
"335629078115406",2003,10.73,365
"335629078115406",2004,11.67,366
"335629078115406",2005,12.67,365
"335629078115406",2006,9.63,365
"335629078115406",2007,12.75,365
"335629078115406",2008,14.39,366
"335629078115406",2009,15.045,365
"335629078115406",2010,11.59,365
"335629078115406",2011,11.14,365
"335629078115406",2012,13.16,366
"335629078115406",2013,12.255,365
"335629078115406",2014,11.91,365
"335629078115406",2015,9.68,365
"335629078115406",2016,8.3,366
"335629078115406",2017,9.465,365
"335629078115406",2018,9.11,365
"335629078115406",2019,9.18,365
"335629078115406",2020,9.7,366
"335629078115406",2021,8.75,204
"335629078115407",1990,8.67,365
"335629078115407",1991,7.83,365
"335629078115407",1992,6.625,366
"335629078115407",1993,7.66,365
"335629078115407",1994,7.73,365
"335629078115407",1995,7.27,365
"335629078115407",1996,7.66,366
"335629078115407",1997,6.32,365
"335629078115407",1998,NA,365
"335629078115407",1999,NA,365
"335629078115407",2000,4.24,366
"335629078115407",2001,6.15,365
"335629078115407",2002,8.87,365
"335629078115407",2003,8.31,365
"335629078115407",2004,7.715,366
"335629078115407",2005,8.47,365
"335629078115407",2006,5.42,365
"335629078115407",2007,8.335,365
"335629078115407",2008,9.88,366
"335629078115407",2009,10.22,365
"335629078115407",2010,7.68,365
"335629078115407",2011,6.56,365
"335629078115407",2012,8.83,366
"335629078115407",2013,8.13,365
"335629078115407",2014,7.17,365
"335629078115407",2015,5.805,365
"335629078115407",2016,4.07,366
"335629078115407",2017,5.215,365
"335629078115407",2018,4.595,365
"335629078115407",2019,4.875,365
"335629078115407",2020,5.08,366
"335629078115407",2021,4.83,207
"335631078003604",1999,24.3,63
"335631078003604",2000,24.49,366
"335631078003604",2001,24.87,365
"335631078003604",2002,25.41,365
"335631078003604",2003,24.73,365
"335631078003604",2004,30.74,366
