"site","AgencyCd","SiteName","DecLatVa","DecLongVa","AltVa","AltUnitsNm","WellDepth","WellDepthUnitsNm","NatAquiferCd","NatAqfrDesc","StateCd","StateNm","CountyCd","CountyNm","LocalAquiferCd","LocalAquiferName","SiteType","AquiferType","link"
"355944079013401","USGS","OR-691 DUKE FOREST RS DF-1I NR EUBANKS, NC (TR ZN)",35.9956916666667,-79.0260472222222,486.1,"Feet",52,"Feet","N400PDMBRX","Piedmont and Blue Ridge crystalline-rock aquifers",37,"North Carolina",135,"Orange County","100TRNS","Transition Zone","WELL","UNCONFINED","https://waterdata.usgs.gov/nc/nwis/uv/?site_no=355944079013401&PARAmeter_cd=72019"
"B39X1","NCDWR","Wallace Vaughan",36.50738,-78.64017,383.558,"Feet",146,"Feet","N400PDMBRX","Piedmont and Blue Ridge crystalline-rock aquifers",37,"North Carolina",77,"Granville County",NA,"Bedrock","WELL","UNCONFINED","https://www.ncwater.org/Data_and_Modeling/Ground_Water_Databases/potmaps/gwbdatafiles/b39x1085011lev.txt"
"B39X2","NCDWR","Wallace Vaughan",36.50738,-78.64017,374.628,"Feet",21,"Feet","N400PDMBRX","Piedmont and Blue Ridge crystalline-rock aquifers",37,"North Carolina",77,"Granville County",NA,"Surficial","WELL","UNCONFINED","https://www.ncwater.org/Data_and_Modeling/Ground_Water_Databases/potmaps/gwbdatafiles/b39x2085013lev.txt"
"E38F1","NCDWR","Oxford",36.30473,-78.5829,431.881,"Feet",496,"Feet","N400PDMBRX","Piedmont and Blue Ridge crystalline-rock aquifers",37,"North Carolina",77,"Granville County",NA,"Bedrock","WELL","UNCONFINED","https://www.ncwater.org/Data_and_Modeling/Ground_Water_Databases/potmaps/gwbdatafiles/e38f1085009lev.txt"
"F43X1","NCDWR","Caldwell",36.174154,-78.977019,554.752,"Feet",83,"Feet","N400PDMBRX","Piedmont and Blue Ridge crystalline-rock aquifers",37,"North Carolina",135,"Orange County",NA,"Bedrock","WELL","UNCONFINED","https://www.ncwater.org/Data_and_Modeling/Ground_Water_Databases/potmaps/gwbdatafiles/f43x1085006lev.txt"
"I35K2","NCDWR","Bunn",35.965026,-78.258259,276.256,"Feet",345,"Feet","N400PDMBRX","Piedmont and Blue Ridge crystalline-rock aquifers",37,"North Carolina",69,"Franklin County",NA,"Bedrock","WELL","UNCONFINED","https://www.ncwater.org/Data_and_Modeling/Ground_Water_Databases/potmaps/gwbdatafiles/i35k2085003lev.txt"
"J44D1","NCDWR","Chi Psi Fraternity, UNC",35.908611,-79.058056,508.089,"Feet",48,"Feet","N400PDMBRX","Piedmont and Blue Ridge crystalline-rock aquifers",37,"North Carolina",135,"Orange County","Bs","Basement saprolite","WELL","UNCONFINED","https://www.ncwater.org/Data_and_Modeling/Ground_Water_Databases/potmaps/gwbdatafiles/j44d1085001lev.txt"
"M53L1","NCDWR","NC Zoo",35.629546,-79.769778,763.577,"Feet",100,"Feet","N400PDMBRX","Piedmont and Blue Ridge crystalline-rock aquifers",37,"North Carolina",151,"Randolph County",NA,"Bedrock","WELL","UNCONFINED","https://www.ncwater.org/Data_and_Modeling/Ground_Water_Databases/potmaps/gwbdatafiles/m53l1084921lev.txt"
"N41G3","NCDWR","Fuquay Varina",35.555441,-78.808619,306.82,"Feet",125,"Feet","N400PDMBRX","Piedmont and Blue Ridge crystalline-rock aquifers",37,"North Carolina",183,"Wake County","Br","Basement rock","WELL","UNCONFINED","https://www.ncwater.org/Data_and_Modeling/Ground_Water_Databases/potmaps/gwbdatafiles/n41g3084958lev.txt"
"N46H1","NCDWR","General Timber",35.56524,-79.20924,243.98,"Feet",342,"Feet","N400PDMBRX","Piedmont and Blue Ridge crystalline-rock aquifers",37,"North Carolina",37,"Chatham County","Br","Basement rock","WELL","UNCONFINED","https://www.ncwater.org/Data_and_Modeling/Ground_Water_Databases/potmaps/gwbdatafiles/n46h1084919lev.txt"
