julian,date,month366,day366,month-day366,month365,day365,month-day365
0,1-Jan,Jan,1,Jan-1,Jan,1,Jan-1
1,2-Jan,Jan,2,Jan-2,Jan,2,Jan-2
2,3-Jan,Jan,3,Jan-3,Jan,3,Jan-3
3,4-Jan,Jan,4,Jan-4,Jan,4,Jan-4
4,5-Jan,Jan,5,Jan-5,Jan,5,Jan-5
5,6-Jan,Jan,6,Jan-6,Jan,6,Jan-6
6,7-Jan,Jan,7,Jan-7,Jan,7,Jan-7
7,8-Jan,Jan,8,Jan-8,Jan,8,Jan-8
8,9-Jan,Jan,9,Jan-9,Jan,9,Jan-9
9,10-Jan,Jan,10,Jan-10,Jan,10,Jan-10
10,11-Jan,Jan,11,Jan-11,Jan,11,Jan-11
11,12-Jan,Jan,12,Jan-12,Jan,12,Jan-12
12,13-Jan,Jan,13,Jan-13,Jan,13,Jan-13
13,14-Jan,Jan,14,Jan-14,Jan,14,Jan-14
14,15-Jan,Jan,15,Jan-15,Jan,15,Jan-15
15,16-Jan,Jan,16,Jan-16,Jan,16,Jan-16
16,17-Jan,Jan,17,Jan-17,Jan,17,Jan-17
17,18-Jan,Jan,18,Jan-18,Jan,18,Jan-18
18,19-Jan,Jan,19,Jan-19,Jan,19,Jan-19
19,20-Jan,Jan,20,Jan-20,Jan,20,Jan-20
20,21-Jan,Jan,21,Jan-21,Jan,21,Jan-21
21,22-Jan,Jan,22,Jan-22,Jan,22,Jan-22
22,23-Jan,Jan,23,Jan-23,Jan,23,Jan-23
23,24-Jan,Jan,24,Jan-24,Jan,24,Jan-24
24,25-Jan,Jan,25,Jan-25,Jan,25,Jan-25
25,26-Jan,Jan,26,Jan-26,Jan,26,Jan-26
26,27-Jan,Jan,27,Jan-27,Jan,27,Jan-27
27,28-Jan,Jan,28,Jan-28,Jan,28,Jan-28
28,29-Jan,Jan,29,Jan-29,Jan,29,Jan-29
29,30-Jan,Jan,30,Jan-30,Jan,30,Jan-30
30,31-Jan,Jan,31,Jan-31,Jan,31,Jan-31
31,1-Feb,Feb,1,Feb-1,Feb,1,Feb-1
32,2-Feb,Feb,2,Feb-2,Feb,2,Feb-2
33,3-Feb,Feb,3,Feb-3,Feb,3,Feb-3
34,4-Feb,Feb,4,Feb-4,Feb,4,Feb-4
35,5-Feb,Feb,5,Feb-5,Feb,5,Feb-5
36,6-Feb,Feb,6,Feb-6,Feb,6,Feb-6
37,7-Feb,Feb,7,Feb-7,Feb,7,Feb-7
38,8-Feb,Feb,8,Feb-8,Feb,8,Feb-8
39,9-Feb,Feb,9,Feb-9,Feb,9,Feb-9
40,10-Feb,Feb,10,Feb-10,Feb,10,Feb-10
41,11-Feb,Feb,11,Feb-11,Feb,11,Feb-11
42,12-Feb,Feb,12,Feb-12,Feb,12,Feb-12
43,13-Feb,Feb,13,Feb-13,Feb,13,Feb-13
44,14-Feb,Feb,14,Feb-14,Feb,14,Feb-14
45,15-Feb,Feb,15,Feb-15,Feb,15,Feb-15
46,16-Feb,Feb,16,Feb-16,Feb,16,Feb-16
47,17-Feb,Feb,17,Feb-17,Feb,17,Feb-17
48,18-Feb,Feb,18,Feb-18,Feb,18,Feb-18
49,19-Feb,Feb,19,Feb-19,Feb,19,Feb-19
50,20-Feb,Feb,20,Feb-20,Feb,20,Feb-20
51,21-Feb,Feb,21,Feb-21,Feb,21,Feb-21
52,22-Feb,Feb,22,Feb-22,Feb,22,Feb-22
53,23-Feb,Feb,23,Feb-23,Feb,23,Feb-23
54,24-Feb,Feb,24,Feb-24,Feb,24,Feb-24
55,25-Feb,Feb,25,Feb-25,Feb,25,Feb-25
56,26-Feb,Feb,26,Feb-26,Feb,26,Feb-26
57,27-Feb,Feb,27,Feb-27,Feb,27,Feb-27
58,28-Feb,Feb,28,Feb-28,Feb,28,Feb-28
59,29-Feb,Feb,29,Feb-29,Mar,1,Mar-1
60,1-Mar,Mar,1,Mar-1,Mar,2,Mar-2
61,2-Mar,Mar,2,Mar-2,Mar,3,Mar-3
62,3-Mar,Mar,3,Mar-3,Mar,4,Mar-4
