"locID","network","name","city","county","state","lat_y","long_x","elev_ft","agency","startDate","endDate"
"310301","COOP","Asheville","Asheville","Buncombe County","NC","35.59528","-82.55667","2238","NOAA National Weather Service","1876-08-01","2021-03-10"
"310310","COOP","Asheville 13 S","Avery Creek","Buncombe County","NC","35.41861","-82.55667","2103","NOAA National Weather Service","2010-01-01","2021-04-20"
"310308","COOP","Asheville 8 Ssw","Bent Creek","Buncombe County","NC","35.49444","-82.61417","2151","NOAA National Weather Service","2010-01-01","2021-04-20"
"310300","COOP","Asheville Ap","Fletcher","Buncombe County","NC","35.43194","-82.5375","2117","NOAA National Weather Service","1946-01-01","2021-04-20"
"310296","COOP","Asheville Faa Ap","Fletcher","Buncombe County","NC","35.43333","-82.48333","2093","NOAA National Weather Service","1946-01-01","2021-04-20"
"310506","COOP","Banner Elk","Banner Elk","Avery County","NC","36.16167","-81.87417","3770","NOAA National Weather Service","1907-09-01","2021-04-20"
"310530","COOP","Barnardsville","Mars Hill","Buncombe County","NC","35.76667","-82.43333","2251","NOAA National Weather Service","1949-01-01","2021-04-20"
"310531","COOP","Barnardsville 2 Se","Mars Hill","Buncombe County","NC","35.76","-82.4325","2320","NOAA National Weather Service","1949-01-01","2021-04-20"
"310645","COOP","Beech Mtn","Beech Mountain","Avery County","NC","36.18778","-81.87361","5053","NOAA National Weather Service","2000-01-01","2021-04-19"
"310724","COOP","Bent Creek","Asheville","Buncombe County","NC","35.50444","-82.59667","2110","NOAA National Weather Service","1949-01-01","2021-04-12"
"311055","COOP","Brevard","Brevard","Transylvania County","NC","35.22833","-82.73583","2220","NOAA National Weather Service","1902-01-01","2021-04-20"
"311248","COOP","Burnsville Ag","Burnsville","Yancey County","NC","35.92528","-82.26917","2800","NOAA National Weather Service","2000-01-01","2021-04-20"
"311420","COOP","Candler 1w","Bent Creek","Buncombe County","NC","35.54528","-82.69861","2357","NOAA National Weather Service","1992-05-01","2021-04-20"
"311624","COOP","Celo 2 S","Celo","Yancey County","NC","35.82972","-82.17694","2680","NOAA National Weather Service","1948-08-01","2021-04-20"
"312837","COOP","Enka","Enka","Buncombe County","NC","35.54056","-82.65306","2050","NOAA National Weather Service","1930-11-01","2021-04-20"
"313072","COOP","Flat Springs 1e","MV","Avery County","NC","36.25278","-81.91361","3355","MV","2008-04-01","2021-04-20"
"313106","COOP","Fletcher 3 W","Fletcher","Henderson County","NC","35.42667","-82.5575","2070","NOAA National Weather Service","1959-11-01","2021-03-31"
"313976","COOP","Hendersonville 1 Ne","Hendersonville","Henderson County","NC","35.32972","-82.44917","2160","NOAA National Weather Service","1898-06-01","2021-04-19"
"314260","COOP","Hot Springs","Hot Springs","Madison County","NC","35.895","-82.83111","1396","NOAA National Weather Service","1927-01-01","2021-04-20"
"315356","COOP","Marshall","Marshall","Madison County","NC","35.80361","-82.66583","2000","NOAA National Weather Service","1898-11-01","2021-04-20"
"315923","COOP","Mt Mitchell","Mount Mitchell","Yancey County","NC","35.75861","-82.27111","6240","NOAA National Weather Service","1980-01-01","2021-04-20"
"316236","COOP","North Fork 2","Black Mountain","Buncombe County","NC","35.6625","-82.34694","2480","NOAA National Weather Service","1942-10-01","2021-04-18"
"316805","COOP","Pisgah Forest 3 Ne","Pisgah Forest","Transylvania County","NC","35.27194","-82.6475","2190","NOAA National Weather Service","1939-10-01","2021-04-18"
"317486","COOP","Rosman","Rosman","Transylvania County","NC","35.12667","-82.8175","2200","NOAA National Weather Service","1935-12-01","2021-04-20"
"318221","COOP","Spruce Pine 2 Ne","Spruce Pine","Mitchell County","NC","35.9325","-82.00194","2850","NOAA National Weather Service","2000-01-01","2021-04-18"
